127.0.0.1, 2014-05-13 23:04:43, GET, /, HTTP/1.1, 303, 0.009000
127.0.0.1, 2014-05-13 23:04:44, GET, /welcome/default/index, HTTP/1.1, 200, 1.530000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.088000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-13 23:04:45, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-13 23:04:46, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-05-13 23:04:46, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-05-13 23:04:46, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-05-13 23:04:50, GET, /admin/default/index, HTTP/1.1, 200, 0.679000
127.0.0.1, 2014-05-13 23:04:50, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.076000
127.0.0.1, 2014-05-13 23:04:50, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.094000
127.0.0.1, 2014-05-13 23:04:51, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2014-05-13 23:04:53, POST, /admin/default/index, HTTP/1.1, 303, 0.484000
127.0.0.1, 2014-05-13 23:04:53, GET, /admin/default/site, HTTP/1.1, 200, 0.289000
127.0.0.1, 2014-05-13 23:04:54, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-05-13 23:04:54, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.209000
127.0.0.1, 2014-05-13 23:04:54, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-05-13 23:04:54, POST, /admin/default/check_version, HTTP/1.1, 200, 0.547000
127.0.0.1, 2014-05-13 23:04:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-05-13 23:04:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-05-13 23:04:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
